2019-01-10T22:26:42.723+0000|UNKNOWN|_system_|access-admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|C|TKN|{"added":{"owner":"jfac@01d0wxz3m1wscx12zqw4xp0zhp","created":"1547159202629","subject":"jfrt@01d0wxzqxn1hmc075qkdt51my0","scope":"admin","expiry":"2493239202629","id":"c84225d4-5ad5-431e-a084-fa506c3158fd"}}
2019-01-10T22:26:44.031+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|admin|C|USR|{"added":{"customData.updatable_profile":"true","password":"*","allowedIps":"[*]","realm":"internal","customData.artifactory_admin":"true","email":"","status":"enabled","username":"admin"}}
2019-01-10T22:26:44.069+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|anonymous|C|USR|{"added":{"allowedIps":"[*]","realm":"internal","status":"enabled","username":"anonymous"}}
2019-01-10T22:26:44.150+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|readers|C|GRP|{"added":{"autoJoin":"true","name":"readers","description":"A group for read-only users","realm":"internal"}}
2019-01-10T22:26:44.290+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:c52c89cf-cacd-4d1c-ae8d-15285939df68|C|PRM|{"added":{"actions.readers(GROUP):r":"readers(GROUP):r","customData.updatedBy":"_system_","displayName":"Anything","name":"jfrt@01d0wxzqxn1hmc075qkdt51my0:c52c89cf-cacd-4d1c-ae8d-15285939df68","actions.anonymous(USER):r":"anonymous(USER):r","serviceId":"jfrt@01d0wxzqxn1hmc075qkdt51my0","resourceType":"repo"}}
2019-01-10T22:26:44.337+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:185e287e-301a-4d24-b644-319ca998e2e1|C|PRM|{"added":{"actions.readers(GROUP):r":"readers(GROUP):r","customData.updatedBy":"_system_","displayName":"Anything","name":"jfrt@01d0wxzqxn1hmc075qkdt51my0:185e287e-301a-4d24-b644-319ca998e2e1","actions.anonymous(USER):r":"anonymous(USER):r","serviceId":"jfrt@01d0wxzqxn1hmc075qkdt51my0","resourceType":"build"}}
2019-01-10T22:26:44.371+0000|UNKNOWN|_system_|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:e8c4b208-e9bc-4163-a6e2-64993d43c15d|C|PRM|{"added":{"customData.updatedBy":"_system_","displayName":"Any Remote","name":"jfrt@01d0wxzqxn1hmc075qkdt51my0:e8c4b208-e9bc-4163-a6e2-64993d43c15d","actions.anonymous(USER):r":"anonymous(USER):r","serviceId":"jfrt@01d0wxzqxn1hmc075qkdt51my0","actions.anonymous(USER):w":"anonymous(USER):w","resourceType":"repo"}}
2019-01-10T22:27:31.710+0000|10.7.240.57|anonymous|jfrt@01d0wxzqxn1hmc075qkdt51my0|admin|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"}}}
2019-01-10T22:31:23.887+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|admin|U|USR|{"added":{"customData.gen_password_key":"*","customData.private_key":"*","customData.public_key":"*"}}
2019-01-19T16:03:23.146+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins-deploy|C|USR|{"added":{"customData.updatable_profile":"true","password":"*","allowedIps":"[*]","groups.readers":"UserGroupImpl(name=readers, realm=internal)","realm":"internal","email":"s0547375@htw-berlin.de","status":"enabled","username":"jenkins-deploy"}}
2019-01-19T16:08:02.381+0000|10.7.240.57|jenkins-deploy|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins-deploy|U|USR|{"added":{"customData.gen_password_key":"*","customData.private_key":"*","customData.public_key":"*"}}
2019-01-19T16:28:08.928+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:c52c89cf-cacd-4d1c-ae8d-15285939df68|U|PRM|{"added":{"actions.jenkins-deploy(USER):w":"jenkins-deploy(USER):w","actions.jenkins-deploy(USER):r":"jenkins-deploy(USER):r","actions.jenkins-deploy(USER):n":"jenkins-deploy(USER):n"},"updated":{"customData.updatedBy":{"oldEntry":"_system_","newEntry":"admin"}}}
2019-01-19T16:28:08.958+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:185e287e-301a-4d24-b644-319ca998e2e1|U|PRM|{"added":{"actions.jenkins-deploy(USER):w":"jenkins-deploy(USER):w","actions.jenkins-deploy(USER):r":"jenkins-deploy(USER):r","actions.jenkins-deploy(USER):n":"jenkins-deploy(USER):n"},"updated":{"customData.updatedBy":{"oldEntry":"_system_","newEntry":"admin"}}}
2019-01-19T16:32:59.093+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins-deploy|U|USR|{"updated":{"customData.artifactory_admin":{"oldEntry":"","newEntry":"true"}}}
2019-01-19T16:33:56.024+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|writers|C|GRP|{"added":{"name":"writers","realm":"internal"}}
2019-01-19T16:33:56.059+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins-deploy|U|USR|{"added":{"groups.writers":"UserGroupImpl(name=writers, realm=internal)"}}
2019-01-19T17:54:58.298+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:c52c89cf-cacd-4d1c-ae8d-15285939df68|U|PRM|{"removed":{"actions.jenkins-deploy(USER):w":"jenkins-deploy(USER):w","actions.jenkins-deploy(USER):r":"jenkins-deploy(USER):r","actions.jenkins-deploy(USER):n":"jenkins-deploy(USER):n"}}
2019-01-19T17:54:58.315+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:185e287e-301a-4d24-b644-319ca998e2e1|U|PRM|{"removed":{"actions.jenkins-deploy(USER):w":"jenkins-deploy(USER):w","actions.jenkins-deploy(USER):r":"jenkins-deploy(USER):r","actions.jenkins-deploy(USER):n":"jenkins-deploy(USER):n"}}
2019-01-19T17:54:58.336+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins-deploy|D|USR|{"removed":{"customData.updatable_profile":"true","customData.gen_password_key":"*","groups.writers":"UserGroupImpl(name=writers, realm=internal)","customData.private_key":"*","groups.readers":"UserGroupImpl(name=readers, realm=internal)","password":"*","allowedIps":"[*]","customData.public_key":"*","realm":"internal","customData.artifactory_admin":"true","email":"s0547375@htw-berlin.de","status":"enabled","username":"jenkins-deploy"}}
2019-01-19T17:55:59.228+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins|C|USR|{"added":{"customData.updatable_profile":"true","password":"*","allowedIps":"[*]","groups.readers":"UserGroupImpl(name=readers, realm=internal)","realm":"internal","email":"s0547375@htw-berlin.de","status":"enabled","username":"jenkins"}}
2019-01-19T17:58:10.629+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:d0065a6a-03b9-448a-8bc5-e8aa14c39823|C|PRM|{"added":{"customData.updatedBy":"admin","displayName":"jenkins-permission","name":"jfrt@01d0wxzqxn1hmc075qkdt51my0:d0065a6a-03b9-448a-8bc5-e8aa14c39823","serviceId":"jfrt@01d0wxzqxn1hmc075qkdt51my0","resourceType":"repo"}}
2019-01-19T17:59:37.607+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:d0065a6a-03b9-448a-8bc5-e8aa14c39823|U|PRM|{}
2019-01-19T18:01:02.769+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jfrt@01d0wxzqxn1hmc075qkdt51my0:d0065a6a-03b9-448a-8bc5-e8aa14c39823|U|PRM|{"added":{"actions.jenkins(USER):n":"jenkins(USER):n","actions.jenkins(USER):w":"jenkins(USER):w","actions.jenkins(USER):r":"jenkins(USER):r"}}
2019-01-19T18:42:40.773+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins|U|USR|{"added":{"customData.gen_password_key":"*","customData.private_key":"*","customData.public_key":"*","customData.artifactory_admin":"true"}}
2019-01-19T18:48:41.534+0000|10.7.240.57|admin|jfrt@01d0wxzqxn1hmc075qkdt51my0|jenkins|U|USR|{"updated":{"customData.artifactory_admin":{"oldEntry":"true","newEntry":""}}}
